Ogrid,Name,Well Count,Inactive Wells,5.9 Compliance
25670,BC & D OPERATING INC.,4,0,Yes
162055,"BC DEVELOPMENT, LP",1,0,Yes
160825,"BC OPERATING, INC.",12,1,Yes
1883,BCO INC,,,
373203,BDS Enterprises LLC,,,
1903,BEACH EXPLORATION INC,30,0,Yes
45711,BEACH EXPLORATION INC,,,
191760,BEARCAT DRILLING LLC,,,
1914,BEARD OIL CO,,,
1932,BEARTOOTH OIL & GAS CO,,,
195504,BEAZER EAST INC,,,
1958,BEC CORP,,,
197678,BECK PRODUCING COMPANY,,,
1976,BECKHAM OIL CO,,,
194503,BEELINE GAS SYSTEMS,,,
1981,BELCO,,,
199326,BELCO PETROLEUM CORP,,,
199344,BELL PETROLEUM CO,,,
196633,BELL WESTERN CORPORATION & LECLAIR-WESTWOOD,,,
199353,"BELL,FOY & MIDDLEBROOK",,,
2035,BELNORTH PETROLEUM CORP,,,
373450,"BEN'S OILFIELD SERVICES, LLC",,,
280149,"BENCO OILFIELD SERVICES, LLC",,,
196597,BENNETT PETROLEUM CORPORATION,,,
159688,BENSON MONTIN GREER CORP. AND GRAND VALLEY GA,,,
46511,BENSON-MONTIN-GREER DRILLING CORP,,,
2096,BENSON-MONTIN-GREER DRILLING CORP,85,3,No
46520,BENSON-MONTIN-GREER DRILLING CORP,,,
46538,BENSON-MONTIN-GREER DRILLING CORP,,,
45426,"BEPCO, L.P.",,,
45437,"BEPCO, L.P.",,,
45419,"BEPCO, L.P. & HNG OIL CO",,,
221846,"BEPCO, L.P. & PERRY R. BASS TRUS",,,
1801,"BEPCO, LP",1,0,Yes
2113,BERENERGY CORP,,,
60036,BERNARD P DAVIS,,,
46726,BERRY R COX & EDWIN L COX,,,
371204,BEST TRUCKING SERVICES LLC,,,
286860,"BET TRANSPORTATION, INC.",,,
2175,"BETTIS BOYLE & STOVALL,INC.",16,1,Yes
2187,BETTIS BROTHERS INC,,,
2193,BETWELL OIL & GAS CO,,,
46950,BHP BILLITON PETROLEUM (AMERICAS) INC.,,,
30482,BHP PETROLEUM,,,
46948,BHP PETROLEUM (AMERICAS) INC,,,
2222,"BHP PETROLEUM CO., INC.",,,
129542,BHP PETROLEUM INC,,,
2251,BIG 6 DRILLING CO,,,
308521,BIG BUCK SERVICES LLC,,,
280168,"BIG DOG TRANSPORT, LLC",,,
188355,BIG TEX CRUDE OIL COMPANY,,,
2264,BIG-TEX,,,
329831,BIGHORN TRANSPORT SERVICES LLC,,,
2273,BILL & PATSY RICH,,,
287508,BILL BARRETT CORPORATION,,,
2288,BILL FENN INC,,,
280671,BILL G TAYLOR AND HARVEY R TAYLOR,,,
2301,BILL H PEARL PROD INC,,,
2336,BILL L MILLER,5,1,Yes
212111,BILL RICH,,,
2348,BILL TAYLOR,,,
138711,BILLCO ENERGY INC,,,
2369,BILLCO ENERGY INC,,,
2383,BILLY J PHILLIPS,,,
2395,BILLY R WILSON-ROBINSON BRO DRL INC,,,
195530,BIRD CREEK LLC,,,
2408,BIRD CREEK RESOURCES INC,,,
125723,BISCO INC,,,
25684,BISCO OIL COMPANY,,,
258858,BISCUIT HILLS DISPOSAL LLC,,,
372346,"BISON OIL & GAS II, LLC",,,
2424,BISON PETROLEUM CORP,,,
224717,BIYA OPERATORS INC.,58,55,No
191495,BJ SERVICES,,,
191483,BJ UNICHEM,,,
2433,BK EXPLORATION CORP,17,0,Yes
2441,BK PETROLEUM INC,,,
277961,BKEP CRUDE LLC,,,
329715,BL INVESTMENTS LLC,,,
371259,BLACK EXPLORATION LLC,3,0,Yes
328421,BLACK GOLD OILFIELD SERVICES LLC,,,
129559,BLACK HILLS ENERGY RESOURCES,,,
189732,BLACK HILLS ENERGY RESOURCES INC,,,
13925,"BLACK HILLS GAS RESOURCES, INC.",,,
215535,"BLACK HILLS GAS RESOURES, INC.",,,
371127,BLACK MOUNTAIN OPERATING LLC,1,1,No
322147,BLACK MOUNTAIN OPERATING LLC.,,,
2455,BLACK OIL INC,,,
2462,BLACK RESOURCES INC,,,
249373,"BLACK RIVER GAS, LTD.",,,
288117,BLACK RIVER TRUCKING & HOT SHOT SERVICES LLC,,,
329769,"Black River Trucking & Hot Shot Services, LLC",,,
371287,"BLACK RIVER WATER MANAGEMENT COMPANY, LLC",8,0,Yes
329509,BLACK ROCK CRUDE OIL SERVICES LLC,,,
195696,BLACK WARRIOR WIRELINE CORP,,,
329270,BLACK WIDOW ENTERPRISES LLC,,,
370767,"BLACKBEARD OPERATING, LLC",175,10,No
373619,Blackbuck Resources LLC,,,
243553,BLACKHAWK GATHERING LLC,,,
372892,BLACKOUT ENERGY LLC,,,
2490,BLACKROCK OIL CO,,,
242420,BLACKROCK TRANSPORTATION,,,
371293,BLACKWELL OPERATING LLC,3,0,Yes
2511,BLACKWOOD & NICHOLS CO LTD,,,
2520,"BLACKWOOD & NICHOLS CO., LTD",,,
2505,BLACKWOOD & NICHOLS LTD PTR,,,
373042,"Blackwood Midstream, LLC",,,
307312,BLADE SERVICES LLC,,,
2538,BLAKE PRODUCTION CO INC,1,0,Yes
2546,BLANCO ENGINEERING INC,,,
199430,BLANKS ENERGY CORP,,,
2557,BLAZER OIL & GAS,,,
25696,BLEDSOE PETRO CORP,,,
2563,BLEDSOE PETRO CORP,,,
2589,BLISS PET CORPORATION,,,
253669,"BLOOMFIELD CONSTRUCTION COMPANY, INC.",,,
228017,BLUE COLLAR OIL & GAS LLC,,,
226829,"BLUE DOLPHIN PRODUCTION, LLC",,,
312714,"BLUE PANTHER TRANSPORT, INC.",,,
329611,"Blue Quail Energy Services, LLC",,,
219244,"BLUE RIDGE RESOURCES, LLC",,,
371553,"BLUE RUBY OPERATING, LLC",8,2,Yes
300825,"BLUE SKY NM, INC.",42,38,No
278081,BLUE STAR OILFIELD SERVICES LLC,,,
373135,"Bluebird Production, LLC",,,
373941,BLUEPRINT OILFIELD SERVICES LLC,,,
286989,"BLUESTEM ENERGY HOLDINGS, LLC",,,
252452,"BML, INC.",,,
291993,"BOAZ ENERGY, LLC",,,
2612,BOBBY F ABERNATHY,,,
215322,BOBBY MCKAY DBA 5 A OIL COMPANY,1,0,Yes
245706,BOBBY SIKES DBA B&L SATELLITE RENTALS,,,
2623,BOBCO INTERNATIONAL INC,,,
292731,"BOGE, INC.",4,0,Yes
2634,BOGLE OIL CO,,,
2647,BOLACK MINERALS CO,1,1,No
233545,"BOLD ENERGY, L.P.",,,
300882,BOLD OPERATING LLC,,,
2656,BONNELL SAND & GRAVEL,,,
2660,BONNER PLUMBING INC,,,
197175,BONNEY,,,
260737,"BOPCO, L.P.",,,
265762,"BOPCO, L.P.",,,
287510,"BOPCO, LP",,,
371923,"BORJAS TRUCKING, LLC",,,
370247,"BOSQUE DISPOSAL SYSTEMS, LLC",,,
329186,BOSTON LOGISTICS LLC,,,
374060,BOSTON TRUCKING LLC,,,
2685,BOYD & MCWILLIAMS ENERGY GROUP INC,,,
329216,Boykin Energy LLC,,,
218847,"BP AMER,MARATHON OIL,CONOCOPHILLIPS,FOUR STAR",,,
219265,BP AMERICA,,,
30163,BP AMERICA INC,,,
30174,BP AMERICA INC,,,
30189,BP AMERICA INC,,,
139506,BP AMERICA PROD & FINA OIL & CHEMICAL CO,,,
41820,BP AMERICA PROD CO & HONDO OIL & GAS CO,,,
41846,BP AMERICA PROD. CO. & BURLINGTON RESOURCES,,,
197983,BP AMERICA PRODUCTION CO,,,
226424,BP AMERICA PRODUCTION CO,,,
41786,BP AMERICA PRODUCTION CO & CONOCO INC,,,
41874,BP AMERICA PRODUCTION CO.,,,
117139,BP AMERICA PRODUCTION COMPANY,,,
41909,BP AMERICA PRODUCTION COMPANY,,,
778,BP AMERICA PRODUCTION COMPANY,19,0,Yes
223554,BP AMERICA PRODUCTION COMPANY,,,
218098,BP AMERICA PRODUCTION COMPANY,,,
213155,BP AMERICA PRODUCTION COMPANY,,,
711377,BP AMERICA PRODUCTION COMPANY,,,
211070,BP AMERICA PRODUCTION COMPANY,,,
245163,BP AMERICAN PRODUCTION,,,
2702,BP EXPLORATION INC,,,
48657,BP EXPLORATION INC.,,,
209700,"BP PIPELINE NA, INC.",,,
225870,BP PIPELINES (NORTH AMERICA) INC.,,,
199512,BRADEN-DEEM INC,,,
193484,BRADLEY MCINROE DBA BIG AL OIL & GAS,6,4,No
2726,BRADY PRODUCTION CO,,,
305165,"BRAMMER ENGINEERING, INC.",,,
173556,BRAMMER SUPPLY INC,,,
2744,BRANA CORP,,,
197327,BRANSFORD-GRAHAM,,,
303156,BRAVES OILFIELD SERVICES LLC,,,
2765,BRAVO ENERGY INC,,,
2771,BRAVO OPERATING CO,,,
156264,BRAVO PIPELINE CO,,,
287403,"BRAVO TRUCKING, LLC",,,
2780,BRAZOS PET CO,,,
2799,BRECK OPERATING CORP,,,
370080,BREITBURN OPERATING LP,264,4,Yes
284213,BRENDA ROMO DBA J & B ROMO TRUCKING,,,
188168,BRG PETROLEUM CORPORATION,,,
2814,BRIDGE OIL CO L P,,,
310262,"BRIDGECREEK RESOURCES (COLORADO), LLC",7,1,Yes
370781,BRIDGEPORT TANK TRUCKS LLC,,,
304574,BRIDGER GROUP PAYABLE SERVICE CENTER,,,
318074,"BRIDGER LOGISTICS, LLC",,,
296886,BRIDGER TRANSFER SERVICES LLC,,,
311333,"BRIDGER TRANSPORTATION, LLC",,,
